Ano;Regiao;UF;Cod_Municipio;Municipio;Localizacao;Media_Escola;Aprovacao_Ens_Medio;Media_Horas
2009;Sudeste;SP;3550308;São Paulo;Total;35.5;77.7
2010;Sudeste;SP;3550308;São Paulo;Total;35.7;78.6;4.8
2011;Sudeste;SP;3550308;São Paulo;Total;35.3;77.1;4.8
2012;Sudeste;SP;3550308;São Paulo;Total;34.6;77.6;4.9
2013;Sudeste;SP;3550308;São Paulo;Total;34.6;78.2;4.9
2014;Sudeste;SP;3550308;São Paulo;Total;34.3;80;5
2015;Sudeste;SP;3550308;São Paulo;Total;32.8;82.6;5
2016;Sudeste;SP;3550308;São Paulo;Total;33.4;82;5.1
2017;Sudeste;SP;3550308;São Paulo;Total;33;84.4;5.1
2018;Sudeste;SP;3550308;São Paulo;Total;31.7;84.5;5.2
